,code,airport_name,city,state
3628,MTT, Minatitlan Airport,Minatitlan, Mexico
3629,MTV, Mota Lava Airport,Mota Lava, Vanuatu
3630,MTW, Manitowoc County,Manitowoc, WI
3631,MTX, Metro Field,Fairbanks, AK
3632,MTY, General Mariano Escobedo International,Monterrey, Mexico
3633,MTZ, Israel Bar Yehuda,Masada, Israel
3634,MUA, Munda Airport,Munda, Solomon Islands
3635,MUB, Maun Airport,Maun, Botswana
3636,MUC, Muenchen,Munich, Germany
3637,MUE, Waimea-Kohala,Kamuela, HI
3638,MUG, Mulege Airport,Mulege, Mexico
3639,MUH, Mersa Matruh Airport,Mersa Matruh, Egypt
3640,MUL, Spence,Moultrie, GA
3641,MUN, Jose Tadeo Monagas International,Maturin, Venezuela
3642,MUO, Mountain Home AFB,Mountain Home, ID
3643,MUR, Marudi Airport,Marudi, Malaysia
3644,MUT, Muscatine Municipal,Muscatine, IA
3645,MUX, Multan International,Multan, Pakistan
3646,MUZ, Musoma Airport,Musoma, Tanzania
3647,MVB, Mvengue Airport,Mvengue, Gabon
3648,MVC, Monroe County Aeroplex,Monroeville, AL
3649,MVD, Carrasco International,Montevideo, Uruguay
3650,MVF, Dixsept Rosado,Mossoro, Brazil
3651,MVJ, Marlboro,Mandeville, Jamaica
3652,MVL, Morrisville Stowe State,Morrisville, VT
3653,MVM, Kayenta Airport,Kayenta, AZ
3654,MVN, Mount Vernon Airport,Mount Vernon, IL
3655,MVR, Salak,Maroua, Cameroon
3656,MVW, Skagit Regional,Burlington/Mount Vernon, WA
3657,MVY, Martha's Vineyard Airport,Martha's Vineyard, MA
3658,MVZ, Masvingo International,Masvingo, Zimbabwe
3659,MWA, Veterans Airport of Southern Illinois,Marion/Herrin, IL
3660,MWC, Lawrence J Timmerman,Milwaukee, WI
3661,MWD, Mianwali Airport,Mianwali, Pakistan
3662,MWH, Grant County International,Moses Lake, WA
3663,MWL, Mineral Wells Airport,Mineral Wells, TX
3664,MWM, Windom Municipal,Windom, MN
3665,MWO, Middletown Regional/Hook Field,Middletown, OH
3666,MWQ, Magway,Magwe, Burma
3667,MWX, Muan International,Muan, South Korea
3668,MWZ, Mwanza Airport,Mwanza, Tanzania
3669,MXB, Andi Jemma,Masamba, Indonesia
3670,MXC, Monticello Airport,Monticello, UT
3671,MXE, Laurinburg-Maxton,Maxton, NC
3672,MXF, Maxwell AFB,Montgomery, AL
3673,MXG, Marlboro Airport,Marlboro, MA
3674,MXH, Moro Airport,Moro, Papua New Guinea
3675,MXJ, Minna Airport,Minna, Nigeria
3676,MXL, General Rodolfo Sanchez Taboada International,Mexicali, Mexico
3677,MXP, Malpensa,Milan, Italy
3678,MXS, Maota Airport,Maota, Samoa
3679,MXT, Maintirano Airport,Maintirano, Madagascar
3680,MXX, Mora Airport,Mora, Sweden
3681,MXY, McCarthy Airport,McCarthy, AK
3682,MYA, Moruya Airport,Moruya, Australia
3683,MYB, Mayumba Airport,Mayumba, Gabon
3684,MYC, Maracay Airport,Maracay, Venezuela
3685,MYD, Malindi Airport,Malindi, Kenya
3686,MYE, Miyake Jima Airport,Miyake Jima, Japan
3687,MYF, Montgomery Gibbs Executive,San Diego, CA
3688,MYG, Mayaguana Airport,Mayaguana, The Bahamas
